pilot_ordinal,canonical,lanes,current_display_state,current_search_state,post_count_or_reference,priority,proposed_display_ja,proposed_search_ja,proposal_source,risk_class,evidence_note,review_state,issue32_overlap,second_pass_review,qa_scope,qa_result,false_approval,prior_proposed_display_ja,audit_display_ja,audit_scope,independent_evidence,root_cause,audit_result,prior_review_state
50,vibrator,general_or_proxy;statistical_recommendation;semantic_support,missing,covered,28668,P0,バイブレーター,バイブ|ローター,EXISTING_SEARCH,HIGH,runtime search_by_canonical=バイブ|ローター; local exact Japanese asset=バイブ|ローター|按摩棒; Special prompt reference=バイブレーター,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,バイブレーター,バイブレーター,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
51,x-ray,general_or_proxy;statistical_recommendation;semantic_support,missing,missing,15324,P0,X線透視,X線透視|透視,LOCAL_EXACT,HIGH,local exact Japanese asset=透視; Special prompt reference=X線・透視的内部表示,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,X線透視,X線透視,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
52,nipples,general_or_proxy;statistical_recommendation,missing,missing,1009122,P0,乳首,乳首|乳首出し,LOCAL_EXACT,HIGH,local exact Japanese asset=乳首|乳首出し; Special prompt reference=乳首が見える,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,乳首,乳首,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
53,long_hair,general_or_proxy;statistical_recommendation,missing,covered,5790640,P0,長い髪,ロングヘア|ロングヘアー|茶髪ロング|金髪ロング|銀髪ロング|長い髪|長髪けもフレ|黒髪ロング,EXISTING_SEARCH,LOW,runtime search_by_canonical=ロングヘア|ロングヘアー|茶髪ロング|金髪ロング|銀髪ロング; local exact Japanese asset=ロングヘア|ロングヘアー|茶髪ロング|金髪ロング|銀髪ロング,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,長い髪,長い髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
54,looking_at_viewer,general_or_proxy;statistical_recommendation,missing,covered,4594386,P0,カメラ目線,カメラ目線,EXISTING_SEARCH,MEDIUM,runtime search_by_canonical=カメラ目線; local exact Japanese asset=カメラ目線|主観視点,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,カメラ目線,カメラ目線,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
55,smile,general_or_proxy;statistical_recommendation,missing,covered,3905723,P0,笑顔,スマイル|守りたい、この笑顔|守りたいこの笑顔|微笑み|微笑む|笑い,EXISTING_SEARCH,LOW,runtime search_by_canonical=スマイル|守りたい、この笑顔|守りたいこの笑顔|微笑み|微笑む; local exact Japanese asset=スマイル|守りたい、この笑顔|守りたいこの笑顔|微笑|微笑み,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,笑顔,笑顔,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
56,open_mouth,general_or_proxy;statistical_recommendation,missing,covered,3272995,P0,口を開けている,口を開ける|開いた口,EXISTING_SEARCH,LOW,runtime search_by_canonical=口を開ける|開いた口; local exact Japanese asset=口を開ける|開いた口|開口,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,口を開けている,口を開けている,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
57,short_hair,general_or_proxy;statistical_recommendation,missing,covered,2926954,P0,短い髪,ショートカット|ショートヘア|黒髪ショート,EXISTING_SEARCH,LOW,runtime search_by_canonical=ショートカット|ショートヘア|黒髪ショート; local exact Japanese asset=ショートカット|ショートヘア|短发|短髪|黒髪ショート,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,短い髪,短い髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
58,shirt,general_or_proxy;statistical_recommendation,missing,covered,2745570,P0,シャツ,シャツ,EXISTING_SEARCH,LOW,runtime search_by_canonical=シャツ; local exact Japanese asset=シャツ|上衣|衬衫|襯衫,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,シャツ,シャツ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
59,simple_background,general_or_proxy;statistical_recommendation,missing,missing,2666264,P0,単色背景,単色背景,LOCAL_EXACT,LOW,local exact Japanese asset=単色背景|简单背景,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,単色背景,単色背景,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
60,blue_eyes,general_or_proxy;statistical_recommendation,missing,covered,2297927,P0,青い目,青い目,EXISTING_SEARCH,LOW,runtime search_by_canonical=青い目; local exact Japanese asset=碧眼|蓝眼睛|藍眼睛|金发碧眼|金髪碧眼,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,青い目,青い目,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
61,long_sleeves,general_or_proxy;statistical_recommendation,missing,missing,2232232,P0,長袖,長袖,LOCAL_EXACT,LOW,local exact Japanese asset=長袖,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,長袖,長袖,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
62,white_background,general_or_proxy;statistical_recommendation,missing,missing,2194071,P0,白背景,白背景|白色背景,LOCAL_EXACT,LOW,local exact Japanese asset=白背景|白色背景,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,白背景,白背景,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
63,holding,general_or_proxy;statistical_recommendation,missing,missing,2065878,P0,持つ,持つ|物を持つ,LOCAL_EXACT,LOW,local exact Japanese asset=持つ|物を持ってる; wording retained as REVIEW pending human disambiguation,REVIEW,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,持つ,持つ,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
64,large_breasts,general_or_proxy;statistical_recommendation,missing,covered,2064758,P0,巨乳,デカァァァァァいッ説明不要!!|大きな乳房,EXISTING_SEARCH,HIGH,runtime search_by_canonical=デカァァァァァいッ説明不要!!|大きな乳房; local exact Japanese asset=デカァァァァァいッ説明不要!!|圧倒的胸囲|大きな乳房|巨乳|巨乳化,READY_FOR_AUDIT,NO,PASS,HIGH_SECOND_PASS,PASS,NO,巨乳,巨乳,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
65,skirt,general_or_proxy;statistical_recommendation,missing,covered,2051936,P0,スカート,スカート,EXISTING_SEARCH,LOW,runtime search_by_canonical=スカート; local exact Japanese asset=スカート|裙,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,スカート,スカート,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
66,black_hair,general_or_proxy;statistical_recommendation,missing,covered,2044309,P0,黒髪,黒髪ショート|黒髪ボブ|黒髪ロング,EXISTING_SEARCH,LOW,runtime search_by_canonical=黒髪ショート|黒髪ボブ|黒髪ロング; local exact Japanese asset=黑发|黑发红眼|黑发赤眼|黑髮紅眼|黑髮赤眼,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,黒髪,黒髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
67,blonde_hair,general_or_proxy;statistical_recommendation,missing,covered,2011217,P0,金髪,ブロンド|金髪ツインテール|金髪ロング,EXISTING_SEARCH,LOW,runtime search_by_canonical=ブロンド|金髪ツインテール|金髪ロング; local exact Japanese asset=ブロンド|金发|金发碧眼|金髪|金髪ツインテール,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,金髪,金髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
68,multiple_girls,general_or_proxy;statistical_recommendation,missing,missing,1953108,P0,複数の女の子,複数の女の子|群像,LOCAL_EXACT,MEDIUM,local exact Japanese asset=多女性|群像|複数人の女の子,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,複数の女の子,複数の女の子,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
69,brown_hair,general_or_proxy;statistical_recommendation,missing,covered,1948404,P0,茶髪,茶髪ロング,EXISTING_SEARCH,LOW,runtime search_by_canonical=茶髪ロング; local exact Japanese asset=茶髪|茶髪ロング,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,茶髪,茶髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
70,1boy,general_or_proxy;statistical_recommendation,missing,covered,1945837,P0,1人の男の子,男の娘|男の子,EXISTING_SEARCH,MEDIUM,runtime search_by_canonical=男の娘|男の子; local exact Japanese asset=一人の男の子|少年|男|男の娘|男の子,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,1人の男の子,1人の男の子,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
71,hair_ornament,general_or_proxy;statistical_recommendation,missing,covered,1937399,P0,髪飾り,髪飾り,EXISTING_SEARCH,LOW,runtime search_by_canonical=髪飾り; local exact Japanese asset=发饰|髪飾り,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,髪飾り,髪飾り,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
72,closed_mouth,general_or_proxy;statistical_recommendation,missing,covered,1841889,P0,口を閉じている,口を閉じる,EXISTING_SEARCH,LOW,runtime search_by_canonical=口を閉じる; local exact Japanese asset=口を閉じる|閉まった口|閉口|闭上的嘴巴,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,口を閉じている,口を閉じている,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
73,dress,general_or_proxy;statistical_recommendation,missing,covered,1826531,P0,ドレス,ドレス|ワンピ|ワンピース服,EXISTING_SEARCH,LOW,runtime search_by_canonical=ドレス|ワンピ|ワンピース服; local exact Japanese asset=ドレス|ワンピ|ワンピース服|连衣裙,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,ドレス,ドレス,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
74,gloves,general_or_proxy;statistical_recommendation,missing,covered,1813277,P0,手袋,てぶくろ|手袋コキ,EXISTING_SEARCH,LOW,runtime search_by_canonical=てぶくろ|手袋コキ; local exact Japanese asset=てぶくろ|手套|手袋|手袋コキ|裸手袋,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,手袋,手袋,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
75,hair_between_eyes,general_or_proxy;statistical_recommendation,missing,missing,1683053,P0,目の間の髪,目の間の髪,LOCAL_EXACT,LOW,local exact Japanese asset=目の間の髪,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,目の間の髪,目の間の髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
76,red_eyes,general_or_proxy;statistical_recommendation,missing,covered,1661733,P0,赤い目,赤い目,EXISTING_SEARCH,LOW,runtime search_by_canonical=赤い目; local exact Japanese asset=白发红眼|白髮紅眼|赤い目|赤目|赤眼,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,赤い目,赤い目,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
77,animal_ears,general_or_proxy;statistical_recommendation,missing,covered,1643967,P0,獣耳,けものみみ|けもみみ|ケモミミ|ケモ耳,EXISTING_SEARCH,LOW,runtime search_by_canonical=けものみみ|けもみみ|ケモミミ|ケモ耳; local exact Japanese asset=けものみみ|けもみみ|ケモミミ|ケモ耳|兽耳,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,獣耳,獣耳,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
78,bow,general_or_proxy;statistical_recommendation,missing,covered,1626431,P0,リボン結び,蝶々結び|蝶結び,EXISTING_SEARCH,LOW,runtime search_by_canonical=蝶々結び|蝶結び; local exact Japanese asset=リボン|蝴蝶结|蝶々結び|蝶結び; wording retained as REVIEW pending human disambiguation,REVIEW,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,リボン結び,リボン結び,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
79,hat,general_or_proxy;statistical_recommendation,missing,missing,1595142,P0,帽子,帽子,LOCAL_EXACT,LOW,local exact Japanese asset=帽子|裸帽子,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,帽子,帽子,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
80,jewelry,general_or_proxy;statistical_recommendation,missing,covered,1487472,P0,アクセサリー,アクセサリー|ジュエリー,EXISTING_SEARCH,LOW,runtime search_by_canonical=アクセサリー|ジュエリー; local exact Japanese asset=アクセサリー|ジュエリー|宝石|宝飾品|珠宝; wording retained as REVIEW pending human disambiguation,REVIEW,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,アクセサリー,アクセサリー,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
81,navel,general_or_proxy;statistical_recommendation,missing,covered,1486565,P0,へそ,おへそ|へそ|へそチラ|へそ出し|指を突っ込みたいへそ,EXISTING_SEARCH,LOW,runtime search_by_canonical=おへそ|へそ|へそチラ|へそ出し|指を突っ込みたいへそ; local exact Japanese asset=おへそ|へそ|へそチラ|へそ出し|指を突っ込みたいへそ,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,へそ,へそ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
82,thighhighs,general_or_proxy;statistical_recommendation,missing,covered,1430723,P0,ニーハイソックス,サイハイソックス|ニーソ|ニーソックス|ニーハイ|ニーハイソックス,EXISTING_SEARCH,LOW,runtime search_by_canonical=サイハイソックス|ニーソ|ニーソックス|ニーハイ|ニーハイソックス; local exact Japanese asset=サイハイソックス|ニーソ|ニーソックス|ニーハイ|ニーハイソックス,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,ニーハイソックス,ニーハイソックス,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
83,jacket,general_or_proxy;statistical_recommendation,missing,covered,1405264,P0,ジャケット,ジャケット,EXISTING_SEARCH,LOW,runtime search_by_canonical=ジャケット; local exact Japanese asset=ジャケット|上着|夹克,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,ジャケット,ジャケット,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
84,ribbon,general_or_proxy;statistical_recommendation,missing,covered,1377732,P0,リボン,リボン|紐タイ,EXISTING_SEARCH,LOW,runtime search_by_canonical=リボン|紐タイ; local exact Japanese asset=リボン|丝带|紐タイ|絲帶|缎带,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,リボン,リボン,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
85,very_long_hair,general_or_proxy;statistical_recommendation,missing,covered,1330344,P0,とても長い髪,超ロングヘア,EXISTING_SEARCH,LOW,runtime search_by_canonical=超ロングヘア; local exact Japanese asset=とても長い髪|超ロングヘア|超长发,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,とても長い髪,とても長い髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
86,white_shirt,general_or_proxy;statistical_recommendation,missing,covered,1327032,P0,白いシャツ,白いシャツ,EXISTING_SEARCH,LOW,runtime search_by_canonical=白いシャツ; local exact Japanese asset=白いシャツ|白シャツ,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,白いシャツ,白いシャツ,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
87,2girls,general_or_proxy;statistical_recommendation,missing,missing,1326175,P0,2人の女の子,2人の女の子,LOCAL_EXACT,MEDIUM,local exact Japanese asset=二人の女の子,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,2人の女の子,2人の女の子,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
88,cleavage,general_or_proxy;statistical_recommendation,missing,covered,1313087,P0,胸の谷間,けしからん谷間|挟まれたい谷間|胸の谷間|魅惑の谷間,EXISTING_SEARCH,LOW,runtime search_by_canonical=けしからん谷間|挟まれたい谷間|胸の谷間|魅惑の谷間; local exact Japanese asset=けしからん谷間|乳沟|乳溝|挟まれたい谷間|胸の谷間; Special prompt reference=胸の谷間,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,胸の谷間,胸の谷間,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
89,bare_shoulders,general_or_proxy;statistical_recommendation,missing,covered,1306912,P0,肩出し,ベアトップ|肩出し,EXISTING_SEARCH,LOW,runtime search_by_canonical=ベアトップ|肩出し; local exact Japanese asset=ベアトップ|肩出し|露肩|露肩装,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,肩出し,肩出し,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
90,standing,general_or_proxy;statistical_recommendation,missing,covered,1254345,P0,立ち姿,立ち絵|立つ,EXISTING_SEARCH,LOW,runtime search_by_canonical=立ち絵|立つ; local exact Japanese asset=立ち|立ち絵|立つ,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,立ち姿,立ち姿,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
91,full_body,general_or_proxy;statistical_recommendation,missing,missing,1202224,P0,全身,全身|全身絵,LOCAL_EXACT,LOW,local exact Japanese asset=全景镜头|全身|全身絵,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,全身,全身,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
92,twintails,general_or_proxy;statistical_recommendation,missing,covered,1160135,P0,ツインテール,2つくくり|いいツインテールの日|ツインテ|ツインテール|二つ結い|金髪ツインテール,EXISTING_SEARCH,LOW,runtime search_by_canonical=2つくくり|いいツインテールの日|ツインテ|ツインテール|二つ結い; local exact Japanese asset=2つくくり|いいツインテールの日|ツインテ|ツインテール|二つ結い,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,ツインテール,ツインテール,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
93,medium_breasts,general_or_proxy;statistical_recommendation,missing,missing,1141458,P0,中くらいの胸,普通乳|普乳,LOCAL_EXACT,LOW,local exact Japanese asset=普乳|普通乳,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,YES,普通乳,中くらいの胸,FULL_100_INDEPENDENT_REVALIDATION,DANBOORU_WIKI:https://safebooru.donmai.us/posts?tags=medium_breasts&z=1; independent scope check: range between small and large breasts,UI_NATURALNESS_COMMUNITY_SHORTHAND,CORRECTED,READY_FOR_AUDIT
94,upper_body,general_or_proxy;statistical_recommendation,missing,missing,1127536,P0,上半身,上半身,LOCAL_EXACT,LOW,local exact Japanese asset=上半身|中近景镜头,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,上半身,上半身,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
95,blue_hair,general_or_proxy;statistical_recommendation,missing,covered,1119817,P0,青い髪,青い髪,EXISTING_SEARCH,LOW,runtime search_by_canonical=青い髪; local exact Japanese asset=水色髪|青い髪|青髪,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,青い髪,青い髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
96,purple_eyes,general_or_proxy;statistical_recommendation,missing,missing,1119105,P0,紫色の目,紫色の目|紫目,LOCAL_EXACT,LOW,local exact Japanese asset=紫目|紫眼,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,紫色の目,紫色の目,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
97,green_eyes,general_or_proxy;statistical_recommendation,missing,missing,1109571,P0,緑色の目,緑色の目|緑目,LOCAL_EXACT,LOW,local exact Japanese asset=緑目|緑眼|翠眼,READY_FOR_AUDIT,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,緑色の目,緑色の目,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
98,multicolored_hair,general_or_proxy;statistical_recommendation,missing,missing,1105119,P0,多色の髪,多色の髪|二色髪,LOCAL_EXACT,LOW,local exact Japanese asset=二色髪|多色发|多色髪,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,多色の髪,多色の髪,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
99,male_focus,general_or_proxy;statistical_recommendation,missing,covered,1061826,P0,男性中心,男の子,EXISTING_SEARCH,MEDIUM,runtime search_by_canonical=男の子; local exact Japanese asset=少年|男の子|男子|男性; wording retained as REVIEW pending human disambiguation,REVIEW,NO,PASS,ORDINARY_INDEPENDENT_SAMPLE_20PCT,PASS,NO,男性中心,男性中心,FULL_100_INDEPENDENT_REVALIDATION,EXISTING_REVIEW_PRESERVED; no automatic approval,,REVIEW_PRESERVED,REVIEW
100,collarbone,general_or_proxy;statistical_recommendation,missing,missing,1041620,P0,鎖骨,鎖骨,LOCAL_EXACT,LOW,local exact Japanese asset=鎖骨|锁骨,READY_FOR_AUDIT,NO,NOT_REQUIRED,NOT_SAMPLED,PASS,NO,鎖骨,鎖骨,FULL_100_INDEPENDENT_REVALIDATION,INDEPENDENT_CANONICAL_SCOPE_AND_UI_NATURALNESS_REVIEW,,PASS,READY_FOR_AUDIT
