row_id,canonical_tag,category_name,post_count,display_ja,search_ja,audit_verdict,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000325,lappland_(arknights),Character,7154,ラップランド（アークナイツ）,ラップランド（アークナイツ） | ラップランド | ラップランド(アークナイツ),FIX_SEARCH,ラップランド（アークナイツ） | ラップランド,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000329,tokai_teio_(umamusume),Character,7103,トウカイテイオー（ウマ娘）,トウカイテイオー（ウマ娘） | トウカイテイオー | トウカイテイオー(ウマ娘),FIX_SEARCH,トウカイテイオー（ウマ娘） | トウカイテイオー,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000340,akebono_(kancolle),Character,6972,曙（艦これ）,曙（艦これ） | 曙(艦これ) | 曙(艦隊これくしょん),FIX_SEARCH,曙（艦これ） | 曙(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000341,shoukaku_(kancolle),Character,6943,翔鶴（艦これ）,翔鶴（艦これ） | 翔鶴(艦これ) | 翔鶴(艦隊これくしょん) | 翔鶴,FIX_SEARCH,翔鶴（艦これ） | 翔鶴(艦隊これくしょん) | 翔鶴,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000342,asuna_(bunny)_(blue_archive),Character,6937,一之瀬アスナ（バニーガール）,一之瀬アスナ（バニーガール） | アスナ(バニーガール) | 一之瀬アスナ(バニーガール) | 一之瀬アスナ,FIX_SEARCH,一之瀬アスナ（バニーガール） | アスナ(バニーガール) | 一之瀬アスナ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000345,skadi_(arknights),Character,6893,スカジ（アークナイツ）,スカジ（アークナイツ） | スカジ | スカジ(アークナイツ),FIX_SEARCH,スカジ（アークナイツ） | スカジ,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000349,suzuran_(arknights),Character,6805,スズラン（アークナイツ）,スズラン（アークナイツ） | スズラン | スズラン(アークナイツ),FIX_SEARCH,スズラン（アークナイツ） | スズラン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000354,acheron_(honkai:_star_rail),Character,6775,黄泉（スターレイル）,黄泉（スターレイル） | 黄泉(スターレイル) | 黄泉,FIX_SEARCH,黄泉（スターレイル） | 黄泉,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000360,ooyodo_(kancolle),Character,6735,大淀（艦これ）,大淀（艦これ） | 大淀(艦これ) | 大淀(艦隊これくしょん) | 大淀,FIX_SEARCH,大淀（艦これ） | 大淀(艦隊これくしょん) | 大淀,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000420,silver_wolf_(honkai:_star_rail),Character,6026,銀狼（スターレイル）,銀狼（スターレイル） | 銀狼(スターレイル) | 銀狼,FIX_SEARCH,銀狼（スターレイル） | 銀狼,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000481,bremerton_(azur_lane),Character,5456,ブレマートン（アズールレーン）,ブレマートン（アズールレーン） | ブレマートン | ブレマートン(アズールレーン),FIX_SEARCH,ブレマートン（アズールレーン） | ブレマートン,DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000936,warspite_(kancolle),Character,3204,ウォースパイト（艦これ）,ウォースパイト（艦これ） | ウォースパイト | ウォースパイト(艦これ) | ウォースパイト(艦隊これくしょん),FIX_SEARCH,ウォースパイト（艦これ） | ウォースパイト | ウォースパイト(艦隊これくしょん),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
I70-000979,zero_(mega_man),Character,3093,ゼロ（ロックマン）,ゼロ（ロックマン） | ゼロ | ゼロ(Z) | ゼロ(ロックマン),FIX_SEARCH,ゼロ（ロックマン） | ゼロ | ゼロ(Z),DEDUP_SEARCH_TERMS,HIGH,current search_ja + runtime normalizer,NFKC/括弧/underscore正規化後に同一となる検索語だけを重複除去。語彙の意味は変更しない。,PROPOSED
